Run	Assay_Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center_Name	Collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_continent_or_ocean	geo_loc_name	Altitude/Depth	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample_Name	SRA Study	BioSampleModel	lat_lon	Library Name	env_biome	env_feature	env_material	Investigation_type	project_name	Host	sample_title	Description	env_type
SRR9656178	WGS	250	4131716000	PRJNA552615	SAMN12214513	1443567341	THE UNIVERSITY OF AUCKLAND	15/06/2020	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX6417508	New Zealand	Oceania	New Zealand: Auckland		Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	soil metagenome	ILLUMINA	2020-08-01T00:00:00Z	t.PP_CCRA9ANXX-2739-66-32-01_S66	SRP213734	MIMS.me,MIGS/MIMS/MIMARKS.soil	36.34869640 S 174.63697015 E	t.PP_CCRA9ANXX-2739-66-32-01_S66	terrestrial	temperate conifer forest	bulk soil						soil
SRR12487025	WGS	302	16604570644	PRJNA658184	SAMN15860781	6616942703	CHUNG-ANG UNIVERSITY	15/06/2020	public	sra,fastq	gs,s3	s3.us-east-1,gs.US	SRX8978822	South Korea	Asia	Korea:Gongju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	GR.LS.2.D.16	SRP278252	Metagenome or environmental	36.461306 N 127.095889 E	GR.2.D_16						Geum-River			freshwater
SRR12487027	WGS	302	17401630184	PRJNA658184	SAMN15860779	6869937419	CHUNG-ANG UNIVERSITY	15/06/2020	public	fastq,sra	gs,s3	s3.us-east-1,gs.US	SRX8978820	South Korea	Asia	Korea:Gongju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	GR.LS.2.U.16	SRP278252	Metagenome or environmental	36.461306 N 127.095889 E	GR.2.U_16						Geum-River			freshwater
SRR12487034	WGS	302	17739045422	PRJNA658184	SAMN15860772	6979563587	CHUNG-ANG UNIVERSITY	15/06/2020	public	sra,fastq	s3,gs	gs.US,s3.us-east-1	SRX8978813	South Korea	Asia	Korea:Paju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	HR.LS.5.D.16	SRP278252	Metagenome or environmental	37.806611 N 126.787083 E	HR.5.D_16						Han-River			freshwater
SRR12487036	WGS	302	17800314276	PRJNA658184	SAMN15860771	7040391177	CHUNG-ANG UNIVERSITY	15/06/2020	public	fastq,sra	gs,s3	s3.us-east-1,gs.US	SRX8978811	South Korea	Asia	Korea:Paju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	wastewater metagenome	ILLUMINA	2020-08-20T00:00:00Z	HR.LS.5.E.16	SRP278252	Metagenome or environmental	37.806611 N 126.787083 E	HR.5.E_16						Han-River			freshwater
SRR12487038	WGS	302	17029396762	PRJNA658184	SAMN15860769	6979738204	CHUNG-ANG UNIVERSITY	15/06/2020	public	fastq,sra	gs,s3	gs.US,s3.us-east-1	SRX8978809	South Korea	Asia	Korea:Yangpyeong		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	HR.AC.4.D.16	SRP278252	Metagenome or environmental	37.449944 N 127.658194 E	HR.4.D_16						Han-River			freshwater
SRR12487039	WGS	302	17302852326	PRJNA658184	SAMN15860768	6947329962	CHUNG-ANG UNIVERSITY	15/06/2020	public	fastq,sra	s3,gs	gs.US,s3.us-east-1	SRX8978808	South Korea	Asia	Korea:Yangpyeong		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	wastewater metagenome	ILLUMINA	2020-08-20T00:00:00Z	HR.AC.4.E.16	SRP278252	Metagenome or environmental	37.449944 N 127.658194 E	HR.4.E_16						Han-River			freshwater
SRR12487021	WGS	302	16398185656	PRJNA658184	SAMN15860784	6630374043	CHUNG-ANG UNIVERSITY	15/06/2020	public	sra,fastq	s3,gs	gs.US,s3.us-east-1	SRX8978826	South Korea	Asia	Korea:Iksan		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	MR.LS.1.D1.16	SRP278252	Metagenome or environmental	35.921444 N 127.065972 E	MR.1.D1_16						Mankyoung-River			freshwater
SRR12487005	WGS	302	17573784378	PRJNA658184	SAMN15860799	6907236914	CHUNG-ANG UNIVERSITY	15/06/2020	public	fastq,sra	s3,gs	gs.US,s3.us-east-1	SRX8978842	South Korea	Asia	Korea:Sangju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	NR.LS.1.D.16	SRP278252	Metagenome or environmental	36.408139 N 128.261722 E	NR.1.D_16						Nakdong-River			freshwater
SRR12487006	WGS	302	17018255982	PRJNA658184	SAMN15860798	7038129860	CHUNG-ANG UNIVERSITY	15/06/2020	public	sra,fastq	s3,gs	s3.us-east-1,gs.US	SRX8978841	South Korea	Asia	Korea:Sangju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	wastewater metagenome	ILLUMINA	2020-08-20T00:00:00Z	NR.LS.1.E.16	SRP278252	Metagenome or environmental	36.408139 N 128.261722 E	NR.1.E_16						Nakdong-River			freshwater
ERR2586093	WGS	488	9560538321	PRJEB26788	SAMEA4668129	4505347074	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	15/06/2020	public	fastq,sra	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.US	ERX2602890	Saudi Arabia	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_A_L001_AQ10_PP	ERP108804		11 N 45 E	3436_A_L001	air	air	air	metagenome	AQABA_Shotgun_Metagenmics				air
ERR2586095	WGS	482	8758895532	PRJEB26788	SAMEA4668130	4147584472	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	15/06/2020	public	sra,fastq	s3,gs	gs.US,s3.us-east-1	ERX2602892	Saudi Arabia	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_C_L001_AQ13_CM	ERP108804		13 N 53 E	3436_C_L001	air	air	air	metagenome	AQABA_Shotgun_Metagenmics				air
ERR2586094	WGS	487	9432793668	PRJEB26788	SAMEA4668136	4403998409	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	15/06/2020	public	fastq,sra	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	ERX2602891	Saudi Arabia	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_A_L002_AQ10_PP	ERP108804		11 N 45 E	3436_A_L002	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586096	WGS	482	8713337697	PRJEB26788	SAMEA4668137	4070527480	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	15/06/2020	public	fastq,sra	ncbi,s3,gs	ncbi.public,gs.US,s3.us-east-1	ERX2602893	Saudi Arabia	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_C_L002_AQ13_CM	ERP108804		13 N 53 E	3436_C_L002	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586097	WGS	488	7359982680	PRJEB26788	SAMEA4668131	3595649397	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	15/06/2020	public	fastq,sra	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.US	ERX2602894	uncalculated	Red Sea			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_E_L001_AQ19_CM	ERP108804		20 N 38 E	3436_E_L001	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586098	WGS	487	7314644394	PRJEB26788	SAMEA4668138	3534256545	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	15/06/2020	public	fastq,sra	gs,s3,ncbi	s3.us-east-1,gs.US,ncbi.public	ERX2602895	uncalculated	Red Sea			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_E_L002_AQ19_CM	ERP108804		20 N 38 E	3436_E_L002	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586099	WGS	495	7608190384	PRJEB26788	SAMEA4668132	3611246021	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	22/01/2020	public	sra,fastq	s3,gs	s3.us-east-1,gs.US	ERX2602896	uncalculated	Arabian Sea			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_F_L001_AQ20_CM	ERP108804		11 N 57 E	3436_F_L001	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586100	WGS	495	7584350014	PRJEB26788	SAMEA4668139	3541778498	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	22/01/2020	public	sra,fastq	gs,s3	s3.us-east-1,gs.US	ERX2602897	uncalculated	Arabian Sea			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_F_L002_AQ20_CM	ERP108804		11 N 57 E	3436_F_L002	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586101	WGS	487	8511431608	PRJEB26788	SAMEA4668133	4039059973	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	22/01/2020	public	fastq,sra	gs,s3	gs.US,s3.us-east-1	ERX2602898	Oman	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_G_L001_AQ25_D	ERP108804		16 N 57 E	3436_G_L001	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586102	WGS	487	8570468005	PRJEB26788	SAMEA4668140	4006820570	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	22/01/2020	public	sra,fastq	gs,s3	gs.US,s3.us-east-1	ERX2602899	Oman	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_G_L002_AQ25_D	ERP108804		16 N 57 E	3436_G_L002	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586103	WGS	448	8960967578	PRJEB26788	SAMEA4668134	4312808129	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	22/01/2020	public	fastq,sra	gs,s3	s3.us-east-1,gs.US	ERX2602900	Oman	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_H_L001_AQ26_D	ERP108804		11 N 59 E	3436_H_L001	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586104	WGS	447	8893300697	PRJEB26788	SAMEA4668141	4217198513	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	22/01/2020	public	sra,fastq	s3,gs,ncbi	s3.us-east-1,gs.US,ncbi.public	ERX2602901	Oman	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_H_L002_AQ26_D	ERP108804		18 N 59 E	3436_H_L002	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586105	WGS	480	9260702401	PRJEB26788	SAMEA4668135	4312950668	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	22/01/2020	public	sra,fastq	ncbi,gs,s3	s3.us-east-1,gs.US,ncbi.public	ERX2602902	Saudi Arabia	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_I_L001_AQ37_TI	ERP108804		20 N 38 E	3436_I_L001	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653376	WGS	487	18993331989	PRJEB26788	SAMEA4745131	8909251243	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	22/01/2020	public	sra,fastq	ncbi,s3,gs	ncbi.public,gs.US,s3.us-east-1	ERX2669830	Saudi Arabia	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	AQ_3436_A_cat	ERP108804		11 N 45 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653377	WGS	482	17472233229	PRJEB26788	SAMEA4745132	8218027196	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	10/08/2020	public	fastq,sra	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.US	ERX2669831	Saudi Arabia	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	AQ_3436_C_cat	ERP108804		13 N 53 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653378	WGS	488	14674627074	PRJEB26788	SAMEA4745133	7129814072	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	10/08/2020	public	fastq,sra	ncbi,gs,s3	gs.US,ncbi.public,s3.us-east-1	ERX2669832	uncalculated	Red Sea			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	AQ_3436_E_cat	ERP108804		20 N 38 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653379	WGS	495	15192540398	PRJEB26788	SAMEA4745134	7152935158	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	10/08/2020	public	sra,fastq	gs,s3	gs.US,s3.us-east-1	ERX2669833	uncalculated	Arabian Sea			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	AQ_3436_F_cat	ERP108804		11 N 57 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653380	WGS	487	17081899613	PRJEB26788	SAMEA4745135	8045799527	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	10/08/2020	public	fastq,sra	s3,gs	gs.US,s3.us-east-1	ERX2669834	Oman	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	AQ_3436_G_cat	ERP108804		16 N 57 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653381	WGS	448	17854268275	PRJEB26788	SAMEA4745136	8529926390	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	10/08/2020	public	fastq,sra	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	ERX2669835	Oman	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	AQ_3436_H_cat	ERP108804		18 N 59 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653382	WGS	480	18439984837	PRJEB26788	SAMEA4745137	8536647568	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	10/08/2020	public	fastq,sra	gs,s3	s3.us-east-1,gs.US	ERX2669836	Saudi Arabia	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	AQ_3436_I_cat	ERP108804		20 N 38 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2586106	WGS	480	9179282436	PRJEB26788	SAMEA4668142	4223765571	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	10/08/2020	public	fastq,sra	ncbi,s3,gs	ncbi.public,gs.US,s3.us-east-1	ERX2602903	Saudi Arabia	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	3436_I_L002_AQ37_TI	ERP108804		20 N 38 E	3436_I_L002	air	air	air	metagenome	Shotgun_Metagenomics				air
SRR12487031	WGS	302	17751523760	PRJNA658184	SAMN15860775	7913060536	CHUNG-ANG UNIVERSITY	10/08/2020	public	sra,fastq	gs,s3	gs.US,s3.us-east-1	SRX8978816	South Korea	Asia	Korea:Jincheon		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	GR.AC.1.D.17	SRP278252	Metagenome or environmental	36.766103 N 127.443383 E	GR.1.D_17						Geum-River			freshwater
SRR12486991	WGS	302	22263627240	PRJNA658184	SAMN15860761	10683822733	CHUNG-ANG UNIVERSITY	10/08/2020	public	sra,fastq	s3,gs	s3.us-east-1,gs.US	SRX8978856	South Korea	Asia	Korea:Yeoju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	HR.LS.3.U.17	SRP278252	Metagenome or environmental	37.304056 N 127.618611 E	HR.3.U_17						Han-River			freshwater
SRR12487008	WGS	302	24119665182	PRJNA658184	SAMN15860796	10966538643	CHUNG-ANG UNIVERSITY	10/08/2020	public	fastq,sra	s3,gs	gs.US,s3.us-east-1	SRX8978839	South Korea	Asia	Korea:Jeonju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	MR.AC.2.D.17	SRP278252	Metagenome or environmental	35.880608 N 127.032675 E	MR.2.D_17						Mankyoung-River			freshwater
SRR12487010	WGS	302	16731515136	PRJNA658184	SAMN15860794	7851071132	CHUNG-ANG UNIVERSITY	10/08/2020	public	fastq,sra	s3,gs	s3.us-east-1,gs.US	SRX8978837	South Korea	Asia	Korea:Jeonju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	MR.AC.2.U.17	SRP278252	Metagenome or environmental	35.880608 N 127.032675 E	MR.2.U_17						Mankyoung-River			freshwater
SRR12487001	WGS	302	20315234980	PRJNA658184	SAMN15860802	9142846442	CHUNG-ANG UNIVERSITY	10/08/2020	public	fastq,sra	gs,s3	s3.us-east-1,gs.US	SRX8978846	South Korea	Asia	Korea:Seongju		HiSeq X Ten	PAIRED	RANDOM	METAGENOMIC	freshwater metagenome	ILLUMINA	2020-08-20T00:00:00Z	NR.LS.2.D.17	SRP278252	Metagenome or environmental	35.927978 N 128.311344 E	NR.2.D_17						Nakdong-River			freshwater
